Longueur d'onde (nm),Tension blanc (Volt)
400.0,-8.86e-05
401.3461,-8.86e-05
402.6922,-8.86e-05
404.0383,-8.86e-05
405.3844,-8.86e-05
406.7305,-8.86e-05
408.0766,-8.86e-05
409.4227,-8.86e-05
410.7688,-8.86e-05
412.1149,-8.86e-05
413.461,-1.07e-05
414.8071,-8.86e-05
416.1532,-0.0001666
417.4993,-8.86e-05
418.8454,-1.07e-05
420.1915,-8.86e-05
421.5376,-8.86e-05
422.88370000000003,-1.07e-05
424.2298,-8.86e-05
425.5759,-8.86e-05
426.922,-8.86e-05
428.2681,-8.86e-05
429.61420000000004,-8.86e-05
430.9603,-1.07e-05
432.3064,-8.86e-05
433.65250000000003,-8.86e-05
434.9986,-8.86e-05
436.34470000000005,-8.86e-05
437.6908,-8.86e-05
439.0369,6.72e-05
440.38300000000004,-8.86e-05
441.7291,-1.07e-05
443.0752,0.0001452
444.42130000000003,-1.07e-05
445.7674,-8.86e-05
447.1135,-8.86e-05
448.4596,-8.86e-05
449.8057,-1.07e-05
451.1518,-8.86e-05
452.4979,-8.86e-05
453.844,-8.86e-05
455.1901,-8.86e-05
456.5362,-8.86e-05
457.8823,6.72e-05
459.22839999999997,-8.86e-05
460.57449999999994,-8.86e-05
461.9206,-8.86e-05
463.26669999999996,-1.07e-05
464.6128,-8.86e-05
465.95889999999997,-8.86e-05
467.30499999999995,-1.07e-05
468.65109999999993,-8.86e-05
469.99719999999996,-8.86e-05
471.34329999999994,-1.07e-05
472.6894,-1.07e-05
474.03549999999996,-8.86e-05
475.38159999999993,-1.07e-05
476.7276999999999,-0.0001666
478.07379999999995,-8.86e-05
479.4198999999999,-8.86e-05
480.76599999999996,-8.86e-05
482.11209999999994,-0.0001666
483.4582,-8.86e-05
484.80429999999996,-8.86e-05
486.1504,-0.0001666
487.49649999999997,-0.0001666
488.8426,-0.0001666
490.1887,-8.86e-05
491.5348,-8.86e-05
492.8809,-8.86e-05
494.227,-1.07e-05
495.5731,-0.0001666
496.91920000000005,-0.0001666
498.2653,-0.0001666
499.6114,-0.0001666
500.95750000000004,-0.0001666
502.3036000000001,-0.0001666
503.64970000000005,-0.0001666
504.99580000000003,-0.0001666
506.34190000000007,-0.0002445
507.68800000000005,-0.0001666
509.0341000000001,-0.0002445
510.38020000000006,-0.0002445
511.7263000000001,-0.0002445
513.0724000000001,-0.0003225
514.4185000000001,-0.0003225
515.7646000000001,-0.0002445
517.1107000000001,-0.0002445
518.4568000000002,-0.0003225
519.8029000000001,-0.0003225
521.1490000000001,-0.0003225
522.4951000000001,-0.0003225
523.8412000000001,-0.0003225
525.1873000000002,-0.0002445
526.5334000000001,-0.0003225
527.8795000000001,-0.0003225
529.2256000000002,-0.0003225
530.5717000000002,-0.0003225
531.9178000000002,-0.0003225
533.2639000000001,-0.0003225
534.6100000000001,-0.0004783
535.9561000000002,-0.0004004
537.3022000000002,-0.0004004
538.6483000000002,-0.0005563
539.9944000000002,-0.0004004
541.3405000000002,-0.0004783
542.6866000000002,-0.0005563
544.0327000000002,-0.0006342
545.3788000000002,-0.0005563
546.7249000000002,-0.0006342
548.0710000000003,-0.0005563
549.4171000000002,-0.0005563
550.7632000000002,-0.0006342
552.1093000000003,-0.0006342
553.4554000000003,-0.0006342
554.8015000000003,-0.0006342
556.1476000000002,-0.0006342
557.4937000000002,-0.0007122
558.8398000000003,-0.0005563
560.1859000000003,-0.0006342
561.5320000000003,-0.0006342
562.8781000000004,-0.0007122
564.2242000000003,-0.0007122
565.5703000000003,-0.0006342
566.9164000000003,-0.0007122
568.2625000000003,-0.0007122
569.6086000000003,-0.0006342
570.9547000000003,-0.0006342
572.3008000000003,-0.0007122
573.6469000000003,-0.0007901
574.9930000000004,-0.0007901
576.3391000000004,-0.0007901
577.6852000000003,-0.0007901
579.0313000000003,-0.0007901
580.3774000000003,-0.0007901
581.7235000000004,-0.000868
583.0696000000004,-0.0007901
584.4157000000004,-0.0007901
585.7618000000004,-0.0007901
587.1079000000004,-0.0007901
588.4540000000004,-0.000868
589.8001000000004,-0.000868
591.1462000000004,-0.0007901
592.4923000000003,-0.000868
593.8384000000004,-0.000868
595.1845000000004,-0.0007901
596.5306000000004,-0.0007901
597.8767000000005,-0.0007122
599.2228000000005,-0.0007901
600.5689000000004,-0.000868
601.9150000000004,-0.000868
603.2611000000004,-0.0007901
604.6072000000005,-0.0007901
605.9533000000005,-0.000868
607.2994000000004,-0.000868
608.6455000000005,-0.0007901
609.9916000000005,-0.000868
611.3377000000005,-0.000868
612.6838000000005,-0.000868
614.0299000000005,-0.000868
615.3760000000005,-0.000868
616.7221000000005,-0.000946
618.0682000000005,-0.000946
619.4143000000005,-0.0011019
620.7604000000006,-0.0010239
622.1065000000006,-0.0010239
623.4526000000005,-0.000946
624.7987000000005,-0.000946
626.1448000000005,-0.0010239
627.4909000000006,-0.0011019
628.8370000000006,-0.0011798
630.1831000000005,-0.0012577
631.5292000000006,-0.0014136
632.8753000000006,-0.0015695
634.2214000000006,-0.0016474
635.5675000000006,-0.0018033
636.9136000000005,-0.0018033
638.2597000000006,-0.0018033
639.6058000000006,-0.0018033
640.9519000000006,-0.0018033
642.2980000000007,-0.0017254
643.6441000000007,-0.0017254
644.9902000000006,-0.0015695
646.3363000000006,-0.0015695
647.6824000000006,-0.0015695
649.0285000000006,-0.0015695
650.3746000000007,-0.0014915
651.7207000000006,-0.0016474
653.0668000000006,-0.0015695
654.4129000000007,-0.0015695
655.7590000000007,-0.0015695
657.1051000000007,-0.0014915
658.4512000000007,-0.0014915
659.7973000000006,-0.0015695
661.1434000000006,-0.0014915
662.4895000000007,-0.0014915
663.8356000000007,-0.0014136
665.1817000000008,-0.0013357
666.5278000000008,-0.0013357
667.8739000000007,-0.0012577
